id,hash,label
2023-05_clyde_ai_guild_personality,2701598838,Modify Clyde's Personality
2023-05_collectibles,2455278797,Collectibles
2023-05_fast_onboarding_landing,1461620747,Fast Onboarding Landing
2023-05_fullyemojiautocomplete,3138896883,Only show emoji in autocomplete
2023-05_go_live_quest_fortnite,2709361021,Fortnite: Go Live Quest
2023-05_guild_member_safety_experiment,603648674,Guild Member Safety Experiment
2023-05_inventory_guild_packs,1473329304,Inventory Guild Packs Experiment
2023-05_land_on_server_guide,3172321247,Land users on server guide
2023-05_localized_pricing_turkey_notice,2556223249,Localized Pricing Turkey Notice
2023-05_lock_icon,853908483,Checkout Lock Icon
2023-05_onboarding_wumpus_tooltip_obliteration,3295981377,Guild Onboarding Wumpus Tooltip
2023-05_optional_onboarding_home_admin,695300504,[ADMIN] Make server guide optional
2023-05_overlay_hook_crash_detection,933369006,Detect and report crashes in the overlay hook
2023-05_popular_slash_commands_mobile,1146223059,Popular Slash Commands Mobile
2023-05_referral_trials_birthday_moment,3364594544,Referral Trials Birthday Moment
2023-05_safety_user_sentiment,1344378364,Safety User Sentiment Feedback Eligible
2023-05_speed_test,2982944466,Speed Test User Setting
2023-06_activity_shelf_banner_color_together,1426851414,Activity Shelf Banner Color Together
2023-06_activity_shelf_to_detail_page,2451628514,Activity Shelf to Detail Page
2023-06_app_launcher_mobile,2212455371,App Launcher - Mobile
2023-06_birthday_goodbye,2205929113,Activities Free Forever
2023-06_bogo_announcement_modal,2338915282,BOGO Announcement Modal
2023-06_bogo_promotion_gate,680908968,BOGO Promotion Manager
2023-06_burst_reaction_entry_point_ordering,2413236121,Burst Reaction Entry Point Ordering
2023-06_clyde_ai_channel_based_personality,3143066071,Channel based Clyde personalities
2023-06_clyde_ai_gdm,1195502096,Clyde in DMs/GDMs
2023-06_custom_call_sounds,3039064495,Custom Call Sounds
2023-06_guild_contact_invite_imessage_overlay,631519303,Friend Finder guild contact invite imessage overlay
2023-06_h265_macos,4148889709,Test how h265 works on macos
2023-06_inventory_guild_setting,3883768363,Inventory Guild Settings Experiment
2023-06_mobile_redesign_curry_existing_users,4015496517,Tabs V2 - Curry Existing Users
2023-06_mobile_redesign_curry_new_users,2373630185,Tabs V2 - Curry New Users
2023-06_new_activity_one_time_purchase_modal,261136978,New Activity One Time Purchase Modal
2023-06_non_nitro_user_remix_upsell,3195474227,Non Nitro User Remix Upsell Experiment
2023-06_p13n_summarization_mobile_ux,3780014786,Channel Summaries UX on Mobile Experiment
2023-06_premium_unify_trial_upsell,1495876933,Premium Unify Trial Upsell
2023-06_reduced_payment_method_address_info,3371039046,Reduced Payment Method Address Info
2023-06_remove_reactions_by_type,4195647747,Remove Reactions by Type
2023-06_unique_username_registration,2476969328,Unique Username Registration
2023-07_allow_welcome_message_replies,1487316075,Allow replies to welcome messages
2023-07_announcement_views,3583259547,Announcement Views
2023-07_autocomplete_emojis_nitro_upsell,1322503781,Autocomplete Emojis Nitro Upsell
2023-07_automated_gift_code_message,3647881612,Automatically send gift code message in direct message to gift recipient
2023-07_bogo_marketing_materials_experiment,1350945791,BOGO Marketing Materials
2023-07_checkout_prevent_accidental_modal_dismissal,3215170208,Checkout Prevent Accidental Modal Dismissal
2023-07_clyde_ai_proactive_guilds,3041932109,Proactive Clyde
2023-07_dm_call_bitrate,4248455588,DM/GDM Call Bitrate Experiment
2023-07_domain_connection,3495789820,Domain Connection
2023-07_friend_finder_auto_redirect_invite,197619742,Friend Finder Auto Redirect Invite Experiment
2023-07_guild_list_order,3517643571,Put new guilds to the bottom of guild list
2023-07_guild_members_search_in_elasticsearch,386483746,Members Search V2 Experiment
2023-07_h265_for_windows_with_nvidia,4193500328,Test how h265 works on Windows with Nvidia nvenc codec
2023-07_iframe_modal,135503004,iFrame Modal
2023-07_member_safety_non_community,581929451,Members Safety Non Community Experiment
2023-07_mfa_email_verification,3832649687,Safety Experience Mfa Email Verification
2023-07_p13n_guild_dock_summaries,727554173,Guild Dock Summaries on Mobile Experiment
2023-07_p13n_summarization_model_swap,3819099123,User channel summarization model swapping
2023-07_p13n_summarization_model_swap_guild,2803184680,Guild channel summarization model swapping
2023-07_safetyhub,2804631054,Safety Hub
2023-07_server_guide_post_onboarding_new_member_action,4076788897,Add onboarding new member action to server guide
2023-07_server_guide_trigger,2104400771,server guide guild experiment for triggering purposes
2023-07_suggested_contacts_on_messages_tab,3350915613,Suggested Contacts Rows on Messages Tab
2023-08_aa_imbalance_remediation,3307441810,AA test to validate fallback trigger and location frequency change
2023-08_activities_in_text,1295440499,Activities in Text User
2023-08_clips_public_test,3779532009,Clips (Public Test)
2023-08_collectiblesnitroavatardecoiap,2588597280,Collectible Nitro Avatar Decorations IAP
2023-08_custom_app_icons,2089092680,Custom App Icons
2023-08_custom_gift,1100309809,Custom Gift Experiment
2023-08_dcf_ml_model,1694039129,DCF ML Perks Relevance Model
2023-08_deadchat_simple_prompt_guild,2716650836,Simple deadchat prompt
2023-08_decay_old_unreads,3052834880,Decay Unreads
2023-08_explicit_media_redaction,3220737601,Explicit Media Redaction
2023-08_explicit_media_redaction_teen,438549105,Explicit Media Redaction for Teens
2023-08_friend_finder_contact_sync_landing_page,3704927451,Contact Sync landing page rework with friend finder.
2023-08_friend_finder_incentivized_west_virginia,3011578501,Friend Finder Incentivized Invites for West Virginia
2023-08_friend_finder_pymk,3412409298,Friend Finder People You May Know
2023-08_friendfinderincentivizedexistingusers,553522630,Friend Finder Incentivized Invites for Existing Users
2023-08_friendfinderincentivizednewusers,3308436081,Friend Finder Incentivized Invites for New Users
2023-08_full_band_krisp_android_,2791827263,Let us control if full band is enabled on Android
2023-08_guild_alert_mode_friend_server,2225390567,Guild Alert Mode (friend servers only)
2023-08_guild_member_bulk_ban_experiment,2119968730,Bulk Banning Guild Members Experiment
2023-08_guild_member_mod_view,2342285461,Guild Member Mod View
2023-08_guild_usage_survey,1468919041,Guild Usage Survey
2023-08_iar_fraud_impersonation,868088545,In App Reports Fruad & Impersonation
2023-08_iframe_modal_guild,3482606388,iFrame Modal guild experiment
2023-08_improved_bans_page,3768642622,Guild Settings Improved Bans Page
2023-08_jamspace_mini_shelf_banner,2622935727,Jamspace Mini Shelf Banner
2023-08_local_message_background_sending,1704787863,Send Messages In The Backgrounded
2023-08_login_mfav2,2746546843,Login MFAv2
2023-08_marketing_page_floating_cta,1486934563,Marketing Page Floating CTA
2023-08_mobile_redesign_0g_mini,2911413063,Tabs V2 - 0g Mini
2023-08_mobile_redesign_phase_one_existing_users,4045057395,Tabs V2 - Phase One - Existing Users
2023-08_mobile_redesign_phase_one_new_users,391363355,Tabs V2 - Phase One - New Users
2023-08_new_app_command_serving,3246190672,New Application Command Serving
2023-08_nitro_subs_variant,3370747435,Nitro Subs Variant
2023-08_overlay3_out_of_process_enablement,2544068076,Overlay3 - Out of Process Enablement
2023-08_periodic_voice_stats,1794801891,Periodic Voice Stats
2023-08_perks_discoverability,4108749034,Perks Discoverability
2023-08_premium_new_settings_page,2083225274,New settings page for Nitro
2023-08_premium_tutorial_for_all,1899757821,Premium Tutorial Experience For All
2023-08_premium_tutorial_for_all_debug,3060539609,Premium Tutorial Experience For All Debugging
2023-08_profile_effects,3382923749,Profile Effects User Experiment
2023-08_remix_ga,3382036696,Remix General Available
2023-08_reranked_marketing_tiles,4020129040,Reranked Marketing Tiles
2023-08_secure_frames_encryption,3013881204,Allowing testing secure frames for voice/video
2023-08_self_mod_stranger_danger_teens,1533516732,Stranger Danger Teens
2023-08_server_shop_storefront,1320076753,Server Shop Storefront
2023-08_server_shop_upsell,3738060959,Server Products Upsell
2023-08_trial_notif_to_nitro_home,4023901003,Trial Notification to Nitro Home
2023-08_user_apps,825618208,Allow user app commands
2023-08_video_quality_measurement_v1,2496837643,Video Quality Measurement
2023-08_whats_new,1745832462,What's New
2023-08-30_open-in-popout,281174794,Open Channel in Popout
2023-09_activity_bobble_bash_upsell,3892100904,Activity Bobble Bash Upsell
2023-09_activity_shelf_order,677690720,Activity Shelf Order
2023-09_amd_relaxed_rate_control,1124247010,Alternative rate control proposal for AMD encoder
2023-09_better_localized_trial_cta_rollout,2867419964,Better Localized Trial CTA
2023-09_client_theme_coachmark_reintro,1017818703,Experiment to reintroduce the client themes experiment
2023-09_clips_nitro_early_access,67524618,Clips (Nitro EA)
2023-09_collectibles_marketing_page,1645732717,Collectibles Marketing Page
2023-09_decoupled_game_clipping,1366927696,Test decoupled game clipping
2023-09_deskop_in_app_icon,1066761149,Desktop In-App Icons
2023-09_dm_list_shop_entry_point,1019122443,DM List Shop Entry Point Button
2023-09_gaming_stats_prompt_guild,2478854553,Gaming stats prompt
2023-09_gaming_stats_setup,3080965400,Gaming stats exposure setup
2023-09_guild_events_auto_start,2275541075,Allow users to toggle automatically start events
2023-09_guild_events_entrypoint,1943118067,Experiments with showing Events entrypoint in the channel list in friends guilds
2023-09_guild_events_improvements,2181787089,Experiments with various improvements to our events system
2023-09_guild_polls,2254848082,Create Guild Polls
2023-09_iar_dsa_webform,1438986391,Safety Experience Unauthenticated Report Form
2023-09_limited_time_custom_app_icons,4133484951,Limited-time icons
2023-09_member_safety_release_coachmark,1865413295,Members Safety Release Coachmark Experiment
2023-09_mobile_redesign_hfu,3033100557,Tabs V2 - HFU Iteration
2023-09_mobile_redesign_override_toggles,1855953905,Tabs V2 - redesign opt-out/in for all
2023-09_mobile_redesign_override_toggles_t2,134161945,Tabs V2 - redesign opt-out for T2
2023-09_mobile_redesign_panels,985588111,Tabs V2 - Panels
2023-09_mobile_redesign_panels_existing_users,2137061112,Tabs V2 - Panels - Existing Users
2023-09_mobile_redesign_panels_new_users,1258152564,Tabs V2 - Panels - New Users
2023-09_mobile_redesign_staff,2522365240,Tabs V2 - Staff
2023-09_mobile_redesign_toggle,1727919676,Tabs V2 - manual toggles
2023-09_premium_likelihood_discount_offers,2539775500,Premium Likelihood Discount Offers
2023-09_proxy_block_notice,1121995325,Proxy Block Experiment
2023-09_recurring_events,2114978023,Allows guild to create recurring events
2023-09_redesigned_icons_experiment,2688743035,Redesigned icons experiment
2023-09_server_shop_phantom_preview,759064140,Server Shop Phantom Preview
2023-09_show_server_sub_in_server_shop,1680860120,Show server sub in server shop
2023-09_soundmoji,2773988864,Soundmoji
2023-09_subscriber_nitro_home,1154210951,Subscriber Nitro Home
2023-09_trigger_debugging_aa,1454135605,trigger debugging aa mobile
2023-09_unified_chat_input_expression_icon,3165668470,Unified chat input expression icon
2023-09_upcoming_guild_events_notice,2766349394,Shows additional notices in the channel list for upcoming events
2023-09_user_apps_guild,1570379293,Allow user app commands
2023-09_whats_new_drop_1_flip,1584455515,What's New Drop 1
2023-09_whats_new_drop_2_flip,2396169737,What's New Drop 2
2023-09_whats_new_phase_2,2757471822,What's New Phase 2
2023-09_window_32_deprecation_message,3258339487,show deprecation message for 32-bit Windows
2023-10_actvity_krunker_strike_mini_shelf_banner,2400055382,Actvity Krunker Strike Mini-Shelf Banner
2023-10_add_friend_prominence,1192388977,Make adding friends more prominent (mobile DM)
2023-10_add_friend_prominence_desktop,4283940163,Make adding friends more prominent (desktop profile)
2023-10_bandwidth_estimation_v1,834206369,Bandwidth Estimation
2023-10_call_banner_bg,2681214381,Call Banner Background Experiment
2023-10_client_themes_mobile_tokens,262667022,Client Themes Mobile Tokens
2023-10_clyde_ai_proactive_guilds_v2,3196467544,Proactive Clyde V2
2023-10_collectibles_falloween,1138748479,Collectibles Shop Falloween Content Drop
2023-10_collectibles_shop_for_all,640079350,Collectibles Shop For All
2023-10_custom_gift_soundboard_emoji,308592502,Custom Gift - Soundboard and Emoji Experiment
2023-10_dcf_holdout,2009146437,DCF Holdout
2023-10_emoji_captions,3610590624,Emoji Captions Experiment
2023-10_enable_stateful_animated_icons,3353189507,Stateful animated icons
2023-10_friend_finder_launch,1847389384,Friend Finder Launch Experiment
2023-10_friend_finder_redesign,2064761972,Friend Finder Redesign User Experiment
2023-10_friend_finder_virginia,2536084621,Friend Finder User Experiment for Virginia
2023-10_guildaa,3928972551,Trigger Debugging Guild AA Experiment
2023-10_halloween_2023,3705895930,Halloween assets 2023
2023-10_mobile_redesign_one_percent_existing_users,1541876684,Tabs V2 - One Percent - Existing Users
2023-10_mobile_redesign_one_percent_new_users,3475360205,Tabs V2 - One Percent - New Users
2023-10_poll_users,3497865233,Polls User Experiment
2023-10_premium_tier_2_trial_offer_expiring_notice,3950847537,Premium Tier 2 Trial Offer Expiring Notice
2023-10_q4_drop,65716927,Q4 Drop
2023-10_screencapturekit,3417823975,ScreenCaptureKit
2023-10_social_proofing_file_size,3258058784,Social Proofing File Size
2023-10_social_proofing_message_nitro_badge,725728798,Social Proofing Message Nitro Badge
2023-10_staff_teen_safety_assist_age_bypass,2712801344,Staff Teen Safety Assist Age Bypass
2023-10_thumbhash_messages,3927145797,Display thumbhash placeholders when loading message images
2023-10_trial_for_everyone_trial_creation,2559295447,Trial for everyone
2023-10_triggerdebuggingaa,1863147434,Trigger Debugging User AA Experiment
2023-10_username_lookup_killswitch,2240098025,Friend Finder Username Lookup Killswitch
2023-10_video_hook_disable,1363886659,Video Hook disable on Windows 11
2023-10_video_hook_stale_frame_timeout,1821813006,Video Hook Stale Frame Timeout
2023-10_viewer_clipping,3351049965,Test viewer side clipping
2023-10_wgc_stale_frame_timeout,4008174795,Windows Graphics Capture Stale Frame Timeout
2023-11_activities_in_text_guild,1689901851,Activities in Text Guild
2023-11_adyen_auth_without_capture,1511378616,Adyen auth without capture rollout
2023-11_app_launcher_desktop,822676134,App Launcher - Desktop
2023-11_attachment_link_markup,1894288113,Attachment Link Config User Experiment
2023-11_clyde_ai_aa,1485389700,ClydeAI
2023-11_collectibles_gifting,538840187,Collectibles Gifting
2023-11_colonist_minishelf_banner,2188337804,Actvity Colonist Mini-Shelf Banner
2023-11_enable_hang_status,1033614739,Hang Statuses
2023-11_expanded_gifting_revamp_experiment,2053162821,Expanded Gifting Revamp Experiment
2023-11_friend_finder_sync,3202958470,Friend Finder Sync
2023-11_keybind_indicators,3181891567,Overlay Keybind Indicators
2023-11_midjourney_onboarding,1881851350,Midjourney Onboarding
2023-11_nitro_affinities,1617769333,Nitro Affinities
2023-11_nitro_tab_holdout,2005511838,Nitro Tab Holdout
2023-11_no_manage_subscriptions_section,4037560221,No Manage Subscriptions Section
2023-11_seasonal_gifting,3338888279,Seasonal Gifting 2023
2023-11_seasonal_gifting_marketing_2023,3863309922,Seasonal Gifting Marketing 2023
2023-11_secure_frames_encryption_guilds,2916044329,Allowing testing secure frames for voice/video (Guilds)
2023-11_shop_for_all_full_launch_nitro_user_upsell,4212844827,Shop For All Full Launch Nitro User Upsell Experiment
